DeviceName,PTPTime,UnixTime,protocool,CurrentDeviceTime,DistanceMM,DistanceCM,Weight,Count,DistanceADC,WeightADCDeviceName(Current)
DEVICE,1655361124782,1655361124784,4,1655361124784,44,4,5,0,0,0
DEVICE,1655361124815,1655361124817,4,1655361124817,44,4,5,0,0,0
DEVICE,1655361124847,1655361124849,4,1655361124849,40,4,5,0,0,0
DEVICE,1655361124879,1655361124881,4,1655361124881,42,4,5,0,0,0
DEVICE,1655361124911,1655361124913,4,1655361124913,42,4,5,0,0,0
DEVICE,1655361124942,1655361124944,4,1655361124944,41,4,5,0,0,0
DEVICE,1655361124975,1655361124977,4,1655361124977,45,4,5,0,0,0
DEVICE,1655361125007,1655361125009,4,1655361125009,41,4,5,0,0,0
DEVICE,1655361125039,1655361125041,4,1655361125041,40,4,5,0,0,0
DEVICE,1655361125071,1655361125073,4,1655361125073,43,4,5,0,0,0
DEVICE,1655361125103,1655361125105,4,1655361125105,41,4,5,0,0,0
DEVICE,1655361125135,1655361125137,4,1655361125137,42,4,5,0,0,0
DEVICE,1655361125167,1655361125169,4,1655361125169,42,4,5,0,0,0
DEVICE,1655361125199,1655361125201,4,1655361125201,42,4,5,0,0,0
DEVICE,1655361125231,1655361125233,4,1655361125233,45,4,5,0,0,0
DEVICE,1655361125262,1655361125264,4,1655361125264,40,4,5,0,0,0
DEVICE,1655361125295,1655361125297,4,1655361125297,42,4,5,0,0,0
DEVICE,1655361125327,1655361125329,4,1655361125329,42,4,5,0,0,0
DEVICE,1655361125359,1655361125361,4,1655361125361,41,4,5,0,0,0
DEVICE,1655361125390,1655361125392,4,1655361125392,44,4,5,0,0,0
DEVICE,1655361125422,1655361125424,4,1655361125424,41,4,5,0,0,0
DEVICE,1655361125455,1655361125457,4,1655361125457,41,4,5,0,0,0
DEVICE,1655361125487,1655361125489,4,1655361125489,42,4,5,0,0,0
DEVICE,1655361125519,1655361125521,4,1655361125521,44,4,5,0,0,0
DEVICE,1655361125551,1655361125553,4,1655361125553,42,4,5,0,0,0
DEVICE,1655361125582,1655361125584,4,1655361125584,43,4,5,0,0,0
DEVICE,1655361125614,1655361125616,4,1655361125616,40,4,5,0,0,0
DEVICE,1655361125647,1655361125649,4,1655361125649,44,4,5,0,0,0
DEVICE,1655361125678,1655361125680,4,1655361125680,43,4,5,0,0,0
DEVICE,1655361125710,1655361125712,4,1655361125712,41,4,5,0,0,0
DEVICE,1655361125742,1655361125744,4,1655361125744,42,4,5,0,0,0
DEVICE,1655361125774,1655361125776,4,1655361125776,45,4,5,0,0,0
DEVICE,1655361125807,1655361125809,4,1655361125809,43,4,5,0,0,0
DEVICE,1655361125838,1655361125840,4,1655361125840,45,4,5,0,0,0
DEVICE,1655361125870,1655361125872,4,1655361125872,43,4,5,0,0,0
DEVICE,1655361125902,1655361125904,4,1655361125904,40,4,5,0,0,0
DEVICE,1655361125934,1655361125936,4,1655361125936,42,4,5,0,0,0
DEVICE,1655361125966,1655361125968,4,1655361125968,44,4,5,0,0,0
DEVICE,1655361125998,1655361126000,4,1655361126000,43,4,5,0,0,0
DEVICE,1655361126030,1655361126032,4,1655361126032,42,4,5,0,0,0
DEVICE,1655361126063,1655361126065,4,1655361126065,43,4,5,0,0,0
DEVICE,1655361126095,1655361126097,4,1655361126097,42,4,5,0,0,0
DEVICE,1655361126126,1655361126128,4,1655361126128,42,4,5,0,0,0
DEVICE,1655361126159,1655361126161,4,1655361126161,42,4,5,0,0,0
